image_path,label,split,fold_id,detection_count,slots
tiny_HaGRID/full_set/call/003b66c5-818d-4bff-9b86-a5360d427cb6.jpg,call,test,2,2,"{'left': {'present': True, 'score': 0.8952715396881104, 'handedness': 'Left'}, 'right': {'present': True, 'score': 0.9624227285385132, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/00965367-f833-4221-88cf-4a2482560e14.jpg,call,test,3,2,"{'left': {'present': True, 'score': 0.986926257610321, 'handedness': 'Left'}, 'right': {'present': True, 'score': 0.9846211671829224, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/0121edd7-bb1b-46ec-ab4b-598a3cb1dfde.jpg,call,test,1,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9642195701599121, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/01471cde-46c6-4b44-aa19-fb810a0285fc.jpg,call,test,2,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9911537766456604, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/0300f1b2-c4f6-4fcf-b237-b71ac872cb86.jpg,call,test,2,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9834215641021729, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/033fd3bb-8938-4bac-b59f-dba2714c1e22.jpg,call,test,0,2,"{'left': {'present': True, 'score': 0.9937059879302979, 'handedness': 'Left'}, 'right': {'present': True, 'score': 0.9931942820549011, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/03669c5e-a8f7-45e9-befd-985842e3b0df.jpg,call,test,4,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9748642444610596, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/03b31df7-51a9-4013-81e8-9ea9b62d1645.jpg,call,test,0,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9528989791870117, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/04c0322f-ca0f-4a10-a1cd-1c7b03247a87.jpg,call,test,1,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9708380699157715, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/075845c6-3cc5-4127-bec0-e831ecc51254.jpg,call,test,0,2,"{'left': {'present': True, 'score': 0.9567619562149048, 'handedness': 'Left'}, 'right': {'present': True, 'score': 0.9762262105941772, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/08dbafdc-38ad-4bb3-8b7c-5d90c3ecf074.jpg,call,test,4,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9823002219200134, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/09bd2d7e-abaf-4e27-a72e-3c5795e89c59.jpg,call,test,4,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9609261155128479, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/0b8a57dc-925b-4f35-b463-8c6f8126e56c.jpg,call,test,1,2,"{'left': {'present': True, 'score': 0.9998988509178162, 'handedness': 'Left'}, 'right': {'present': True, 'score': 0.958105206489563, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/0ba5d277-8a7b-4184-b538-886354ac1a21.jpg,call,test,3,1,"{'left': {'present': True, 'score': 0.9869773983955383, 'handedness': 'Left'}, 'right': {'present': False, 'score': 0.0, 'handedness': None}}"
tiny_HaGRID/full_set/call/0c32f0a8-f14a-45e2-85d0-c2f309f6ef38.jpg,call,test,1,1,"{'left': {'present': True, 'score': 0.9726951122283936, 'handedness': 'Left'}, 'right': {'present': False, 'score': 0.0, 'handedness': None}}"
tiny_HaGRID/full_set/call/0d361b7d-5b17-4896-af16-cdd72ae86359.jpg,call,test,2,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9931799173355103, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/0ded4cb4-63d3-4936-96de-c1ef6da235bb.jpg,call,test,3,2,"{'left': {'present': True, 'score': 0.8708639144897461, 'handedness': 'Left'}, 'right': {'present': True, 'score': 0.9846817851066589, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/0e17d3af-6674-4d2c-b588-f5ec77b88c1e.jpg,call,test,2,1,"{'left': {'present': True, 'score': 0.9738485813140869, 'handedness': 'Left'}, 'right': {'present': False, 'score': 0.0, 'handedness': None}}"
tiny_HaGRID/full_set/call/0f71f2c4-b174-467e-9121-e8ca6eedf68b.jpg,call,test,1,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9405032396316528, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/113ea88c-baac-41c4-b64d-d55a238d3a20.jpg,call,test,2,1,"{'left': {'present': True, 'score': 0.9740006923675537, 'handedness': 'Left'}, 'right': {'present': False, 'score': 0.0, 'handedness': None}}"
tiny_HaGRID/full_set/call/114b6ad4-7a1c-4530-8bd6-c72a046a2150.jpg,call,test,3,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9499114751815796, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/12319fe3-f1e7-4c4a-bb40-02f3b00bc7dd.jpg,call,test,1,1,"{'left': {'present': False, 'score': 0.0, 'handedness': None}, 'right': {'present': True, 'score': 0.9643874168395996, 'handedness': 'Right'}}"
tiny_HaGRID/full_set/call/13279eca-6709-49bc-8c1f-17588b194aa7.jpg,call,test,2,1,"{'left': {'present': True, 'score': 0.9887768626213074, 'handedness': 'Left'}, 'right': {'present': False, 'score': 0.0, 'handedness': None}}"
